GPU,sys_CPU,sys_GPU,config_accu,config_time,config_MLI,nrows_train,ncols_train,target_binary_dist,target_nclasses,recipe_individuals,train_data_size,weight,t_total
disabled,16,0,5,5,5,23999.0,25.0,,,4,599975.0,1,302.78000000000003
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,498.72
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,352.1
disabled,16,0,1,1,5,23999.0,25.0,,,4,599975.0,1,113.76
enabled,32,8,5,5,5,23999.0,25.0,,,16,599975.0,1,516.9200000000001
enabled,32,8,5,5,5,23999.0,25.0,,,16,599975.0,1,522.78
disabled,16,0,2,2,5,23999.0,25.0,,,4,599975.0,1,146.62
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,487.48
disabled,4,0,5,5,5,43978.0,31.0,,,4,1363318.0,1,589.88
enabled,4,1,5,5,5,32769.0,10.0,,,4,327690.0,1,667.8199999999999
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,108.01
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,369.9
disabled,4,0,5,5,5,879.0,12.0,,,4,10548.0,1,309.72
enabled,12,1,5,5,5,1460.0,81.0,,,4,118260.0,1,300.37
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,367.42
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,390.49
enabled,12,1,10,7,1,1460.0,81.0,,,8,118260.0,1,2166.32
enabled,48,1,5,5,5,138710.0,8.0,,,4,1109680.0,1,715.38
disabled,4,0,5,5,5,879.0,14.0,,,4,12306.0,1,495.64000000000004
enabled,40,2,5,5,5,23991.0,25.0,,50.0,4,599775.0,1,9382.08
enabled,12,1,10,5,1,1458.0,81.0,,,8,118098.0,1,1429.11
enabled,48,1,6,10,6,138710.0,8.0,,,4,1109680.0,1,5650.93
disabled,4,0,5,5,5,3888.0,62.0,,3.0,4,241056.0,1,3816.9700000000003
enabled,12,1,10,6,1,1458.0,81.0,,,8,118098.0,1,2057.93
enabled,4,1,5,5,5,49352.0,17.0,,3.0,4,838984.0,1,2892.7999999999997
enabled,12,1,10,5,1,1458.0,81.0,,,8,118098.0,1,1299.65
enabled,12,1,10,5,1,1458.0,81.0,,,8,118098.0,1,1422.94
enabled,4,1,5,5,5,23999.0,25.0,,,4,599975.0,1,515.46
enabled,48,1,7,7,6,138710.0,8.0,,,4,1109680.0,1,1892.2499999999998
enabled,16,1,10,5,5,138710.0,7.0,,,8,970970.0,1,21842.489999999998
enabled,8,1,5,5,5,25620.0,49.0,,,4,1255380.0,1,563.4
enabled,16,1,5,5,5,138710.0,8.0,,,4,1109680.0,1,603.34
enabled,16,1,1,5,5,100000.0,8.0,,,4,800000.0,1,468.76
disabled,4,0,5,5,5,40000.0,195.0,,,4,7800000.0,1,2405.0499999999997
enabled,16,1,1,5,1,100000.0,8.0,,,4,800000.0,1,469.17
enabled,12,1,10,6,1,1458.0,222.0,,,8,323676.0,1,3191.64
